Case_ID,Accuracy,F1_Score
Case1,0.9457079970652972,0.9720965309200603
Case10,0.9827437446074202,0.991296779808529
Case11,0.48333333333333334,0.651685393258427
Case12,0.9786476868327402,0.9892086330935251
Case13,1.0,1.0
Case14,0.9741992882562278,0.9869310500225327
Case15,0.9932829554995802,0.9966301600673968
Case16,0.9877650897226754,0.9938448912597456
Case2,0.9551386623164764,0.9770546516478933
Case3,0.9584013050570962,0.978758850478967
Case4,0.8947368421052632,0.9444444444444444
Case5,0.9887048192771084,0.9943203332071185
Case6,0.9941225860621327,0.9970526315789474
Case7,0.9974811083123426,0.9987389659520808
Case8,0.993050193050193,0.9965129794653236
Case9,0.814495254529767,0.8977650974797907
